side,cell,cik,subject_name,td,accession,auditor_bid12,first_event_accession,first_event_date,first_event_form,rulebook_row,reasoning
control,control_post,0000828146,INTERLINK ELECTRONICS INC,2024-05-28,0001104659-24-066057,0,,,,§5 row 7 / §7,"No §2 form-list filing in [2024-05-28,2025-05-28] (route A in-window forms: 10-K/10-Q/8-K/DEF 14A/DEFA14A/S-3 only; DEF 14A and DEFA14A are §2 near-misses); live route-B FTS for ""Interlink Electronics"" returned 0 SC TO-T/SC TO-C docs. Sole in-window Item 1.01 candidate 0001104659-25-049420 (2025-05-15) is an At-The-Market Issuance Sales Agreement with Lake Street Capital Markets: no positive merger pattern, §5 row 7. §6: pre-TD candidate 0001104659-24-043612 (2024-04-04) is a commercial lease, no prior bid."
control,control_post,0001169561,COMMVAULT SYSTEMS INC,2024-02-13,0000921895-24-000526,0,,,,§5 row 7 / §7,"No §2 form-list filing in [2024-02-13,2025-02-12]; live route-B FTS for ""CommVault Systems"" returned 0 docs. Sole in-window Item 1.01 candidate 0001169561-24-000128 (2024-10-04) is a Purchase and Sale Agreement selling Commvault's Tinton Falls headquarters to Somerset Development for $36m: no merger pattern anywhere in the document, §5 row 7 (also a §5 non-merger instrument). §6: no confirmed bid in [2023-02-14,2024-02-12]."
control,control_post,0001294133,Inogen Inc,2024-10-30,0001214659-24-018485,0,,,,§5 row 7 / §7,"No §2 form-list filing in [2024-10-30,2025-10-30]; live route-B FTS for ""Inogen"" returned 0 docs. Sole in-window candidate 0000950170-25-008986 (2025-01-27, Items 1.01/3.02/7.01/9.01) is a Strategic Collaboration Agreement plus share purchase and registration-rights agreement with Jiangsu Yuyue (Yuwell); the words merger/tender offer/business combination/acquisition do not occur in the document, §5 row 7. §6: no prior bid."
control,control_post,0001356576,"SUPERNUS PHARMACEUTICALS, INC.",2024-03-28,0001104659-24-041578,0,,,,§2 form list / §7,"No §2 form-list filing and no Item 1.01/2.01 8-K in [2024-03-28,2025-03-28] (in-window forms are 10-K/10-Q/8-K/DEF 14A/DEFA14A/S-8/SC 13G family only). Live route-B FTS returned SC TO-C/SC TO-T for Adamas Pharmaceuticals (2021-10-12/2021-10-25) and Sage Therapeutics (2025-06-16/2025-07-02) in which Supernus is the BIDDER, not the subject — both sets fall outside the window and both would fail §4 header verification. §6: no confirmed bid in [2023-03-29,2024-03-27]."
control,control_post,0001630627,"TREACE MEDICAL CONCEPTS, INC.",2024-10-30,0001214659-24-018485,0,,,,§2 form list / §7,"No §2 form-list filing and no Item 1.01/2.01 8-K in [2024-10-30,2025-10-30] (in-window forms: 10-K/10-Q/8-K/DEF 14A/DEFA14A/S-8/SC 13G family/Forms 3-4); live route-B FTS for ""Treace Medical Concepts"" returned 0 docs. §6: no confirmed bid in [2023-10-31,2024-10-29]."
control,control_post,0001784535,"Porch Group, Inc.",2024-08-09,0001665159-24-000001,0,,,,§5 row 7 / §7,"No §2 form-list filing in [2024-08-09,2025-08-09]; live route-B FTS for ""Porch Group"" returned 1 doc, discarded (GMS Inc./Home Depot, Porch CIK absent from display_names). Three in-window candidates all fail §5 row 7: 0001784535-25-000003 (2025-01-07, Items 1.01/2.01) is the formation of Porch Insurance Reciprocal Exchange and, under 2.01, Porch's own SALE of HOAIC — a divestiture, no merger pattern; 0001193125-25-122557 (2025-05-20) and 0001193125-25-129050 (2025-05-28) are 0.75% convertible-notes repurchase/refinancing transactions (indenture, senior notes), the only merger/business-combination words being forward-looking-statement boilerplate. §6: pre-TD 0001784535-24-000006 (2024-01-25) is an Aon business collaboration agreement, no prior bid."
control,control_post,0001856365,Finwise Bancorp,2024-02-07,0001999371-24-001967,0,,,,§2 form list / §7,"No §2 form-list filing and no Item 1.01/2.01 8-K in [2024-02-07,2025-02-06] (in-window forms: 10-K/10-Q/8-K/DEF 14A/DEFA14A/S-8/SC 13G family only); live route-B FTS for ""FinWise Bancorp"" returned 0 docs. §6: pre-TD candidates 0001856365-23-000026 (2023-07-27) and 0001856365-24-000003 (2024-01-29) are the BFG Membership Interest Purchase Agreement and its amendment, in which FinWise is the buyer of a 10% interest — no merger pattern, no prior bid on FinWise."
control,control_pre,0000816956,CONMED Corp,2022-01-06,0000950127-22-000003,0,,,,§5 row 2 / §7,"No §2 form-list filing in [2022-01-06,2023-01-06]; live route-B FTS for ""CONMED"" returned 0 docs. Six in-window Item 1.01/2.01 candidates, all rejected: 0001193125-22-141223 (2022-05-05) and 0001193125-22-172969 (2022-06-13) are CONMED's Agreement and Plan of Merger for and completion of its acquisition of In2Bones Global — merger pattern yes, target direction no, acquirer direction yes (""CONMED will acquire In2Bones"", ""completed its previously announced acquisition of In2Bones""), §5 row 2; 0001193125-22-209154 (2022-08-02) and 0001193125-22-216212 (2022-08-09) are the same structure for Biorez, Inc., §5 row 2; 0001193125-22-169336 (2022-06-07) is an $800m 2.25% convertible-notes offering that only recites the In2Bones merger agreement — merger pattern yes, no direction match, non-merger instrument (indenture/senior notes/credit agreement), §5 row 4; 0001193125-22-312677 (2022-12-27) is the Third Amendment to CONMED's credit agreement, no merger pattern, §5 row 7. This is the acquirer failure mode: CONMED is the buyer throughout. §6: pre-TD 0001193125-21-217426 (2021-07-16) is the Seventh Amended and Restated Credit Agreement, no prior bid."
control,control_pre,0000914122,"Perma-Pipe International Holdings, Inc.",2022-04-01,0001213900-22-018462,0,,,,§5 row 7 / §7,"No §2 form-list filing in [2022-04-01,2023-04-01]; live route-B FTS for ""Perma-Pipe International Holdings"" returned 0 docs. Sole in-window candidate 0001437749-23-000660 (2023-01-06) announces a joint venture with Gulf Insulation Group in Saudi Arabia; merger/tender offer/acquisition words absent, §5 row 7. §6: pre-TD 0001437749-21-009195 (2021-04-19, Item 2.01) is Perma-Pipe's own sale of land and buildings in Lebanon, TN, and 0001437749-21-022463 (2021-09-21) a PNC credit-agreement extension — no prior bid."
control,control_pre,0001088856,CORCEPT THERAPEUTICS INC,2022-03-28,0000902664-22-002457,0,,,,§2 near-miss / §5 row 7 / §7,"No counted §2 form-list filing in [2022-03-28,2023-03-28]. The in-window SC TO-I 0001193125-23-060717 (2023-03-06) and its /A are Corcept's own issuer tender offer (share repurchase) and are explicitly NOT counted per §2's near-miss list; the pre-TD SC TO-I 0001193125-21-322396 (2021-11-08) likewise. Live route-B FTS for ""Corcept Therapeutics"" returned 1 doc, discarded (Chimerix/Jazz Pharmaceuticals, Corcept CIK absent). Sole in-window Item 1.01 candidate 0001193125-22-249225 (2022-09-22) amends a pharmaceutical manufacturer services agreement with Optime Care, no merger pattern, §5 row 7. §6: no prior bid."
control,control_pre,0001106644,"CHINA PHARMA HOLDINGS, INC.",2023-08-22,0001213900-23-072694,0,,,,§5 row 7 / §7,"No §2 form-list filing in [2023-08-22,2024-08-21]; live route-B FTS for ""China Pharma Holdings"" returned 0 docs. Three in-window Item 1.01 candidates all lack any merger pattern (§5 row 7): 0001213900-23-097680 (2023-12-21) and 0001213900-24-011587 (2024-02-08) are patent Technology Transfer Agreements entered by subsidiary Hainan Helpson; 0001213900-24-047965 (2024-05-30) is Amendment No. 2 to the Streeterville Capital convertible promissory note. §6: pre-TD 0001213900-22-077369 (2022-12-02) and 0001213900-23-031309 (2023-04-20) are a technology transfer contract and a note amendment — no prior bid."
