side,cell,cik,subject_name,td,accession,auditor_bid12,first_event_accession,first_event_date,first_event_form,rulebook_row,reasoning
treated,treated_post,0001087786,NUVEEN NEW JERSEY QUALITY MUNICIPAL INCOME FUND,2024-06-05,0000897101-24-000225,0,,,,§2 form list / §7,"76 in-window filings in the submissions feed, none a counted form: no SC TO-T/SC TO-C/SC 14D9/DEFM14A/PREM14A and no 8-K at all (closed-end fund); the only proxy activity is a contested-proxy set (PREC14A 2024-10-04, DEFC14A/DEFA14A 2024-10-25) which §2 excludes; route-B full-text search returns zero hits"
treated,treated_post,0001556801,"My City Builders, Inc.",2025-01-22,0001640334-25-000144,0,,,,§5 row 7,"Both in-window Item 1.01/2.01 8-Ks lack any §5 positive merger pattern: 2025-08-19 is a Share Purchase Agreement selling subsidiary RAC Real Estate Acquisition Corp to affiliate-owned RAC Merger LLC, and 2025-10-31 is an Asset Purchase Agreement buying 4 acres of Alabama land"
treated,treated_post,0001624512,Boxlight Corp,2025-06-11,0002073826-25-000001,0,,,,§5 row 7,"All seven in-window Item 1.01 8-Ks are financings with no merger pattern: registered direct offering (2025-09-24), Series B/C preferred amendment (2025-10-03), ATM sales agreement (2025-10-16), J.J. Astor inventory finance (2025-11-07, 2026-04-07) and Whitehawk credit-agreement Tenth/Eleventh Amendments (2025-12-04, 2025-12-29)"
treated,treated_post,0001682149,Datavault AI Inc.,2025-10-23,0001193125-25-303063,ambiguous,0001104659-26-031770,2026-03-19,8-K,§5 row 6,"Two in-window merger 8-Ks (NYIAX 2026-03-19, WDT/BankWyse 2026-08-19 acc 0001104659-26-098833) fire merger patterns but neither a target- nor an acquirer-direction pattern - the primary documents contain no 'acquir' string at all and both 'wholly owned subsidiary of' hits are immediately followed by 'the Company', which the §5 t2 negative lookahead blocks - so both land on row 6; no confirmed in-window event, therefore §7 ambiguous, not forced to 0"
treated,treated_post,0001914818,Starbox Group Holdings Ltd.,2024-05-07,0001493152-24-019231,0,,,,§2 form list / §7,"68 in-window filings, all foreign-private-issuer forms (47 6-K, 20-F, F-3/F-3A, CORRESP, EFFECT); no counted form and no 8-K exists, so no §5 candidate arises; route-B full-text search returns zero hits"
treated,treated_post,0002011286,"Amentum Holdings, Inc.",2024-12-17,0000950157-24-001703,0,,,,§2 form list / §7,"80 in-window filings including eight 8-Ks, none carrying Item 1.01 or 2.01 (items are 5.02, 2.02, 8.01, 9.01, 5.07), and no SC TO-T/SC TO-C/SC 14D9/DEFM14A/PREM14A; the Jacobs spin-merger 8-K of 2024-10-03 is pre-TD and outside the outcome window"
treated,treated_post,0002065948,Solarius Capital Acquisition Corp.,2025-07-17,0001185185-25-000812,0,,,,§5 row 7,"Sole in-window candidate 2025-07-18 is the SPAC's IPO-closing 8-K (underwriting, warrant, letter, trust and registration-rights agreements plus private placement); no §5 positive merger pattern - 'initial business combination' does not match 'business combination (agreement|transaction)'"
treated,treated_pre,0001016178,CARVER BANCORP INC,2022-12-20,0001607062-22-000756,0,,,,§5 row 7,"Sole in-window candidate 2023-07-20 is an Investment Agreement private placement of 378,788 common shares to National Community Investment Fund for ~$1.0m; no §5 positive merger pattern"
treated,treated_pre,0001130713,"OVERSTOCK.COM, INC",2023-10-12,0001013594-23-000799,0,,,,§5 row 7,"Sole in-window candidate 2024-09-17 is the sale of Beyond Inc's Midvale, Utah corporate headquarters to Salt Lake County for $55m plus a data-centre leaseback; no §5 positive merger pattern"
treated,treated_pre,0001409430,All American Gold Corp.,2022-09-01,0001903596-22-000564,0,,,,§2 form list / §7,Only one in-window filing exists - the triggering SC 13D itself (2022-09-06) - and the submissions feed ends there; no counted form and no 8-K candidate; route-B full-text search returns zero hits
